RespondentID,Celebrate,Main_dish,Main_dish_other,Main_dish_cooked,Main_dish_cooked_other,Stuffing,Stuffing_other,Cranberry_sauce,Cranberry_sauce_other,Gravy,Side_dishes_brussels,Side_dishes_carrots,Side_dishes_cauliflower,Side_dishes_corn,Side_dishes_cornbread,Side_dishes_fruit_salad,Side_dishes_green_beans,Side_dishes_mac_cheese,Side_dishes_mashed_potatoes,Side_dishes_rolls,Side_dishes_squash,Side_dishes_vegetable_salad,Side_dishes_yams,Side_dishes_other_plz_specify,Side_dishes_other,Pie_apple,Pie_buttermilk,Pie_cherry,Pie_chocolate,Pie_coconut_cream,Pie_key_lime,Pie_peach,Pie_pecan,Pie_pumpkin,Pie_sweet_potato,Pie_none,Pie_other_plz_specify,Pie_other,Desserts_apple_cobbler,Desserts_blondies,Desserts_brownies,Desserts_carrot_cake,Desserts_cheesecake,Desserts_cookies,Desserts_fudge,Desserts_ice_cream,Desserts_peach_cobberl,Desserts_none,Desserts_other_plz_specify,Desserts_other,Pray,Travel,Programs,Kids_table,Hometown_friends,Friendsgiving,Black_friday,Retail,Work_on_black_friday,Live,Age,Gender,Money,USRegion
4337878450,1,Turkey,,Baked,,Rice-based,,Homemade,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,Cherry,Chocolate,,,,,Pumpkin,,,,,,,Brownies,,,Cookies,,,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,Yes,Yes,No,,Urban,18 - 29,Male,"$0 to $9,999",Middle Atlantic
4337878351,1,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,,,,Chocolate,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Rural,60,Male,"$50,000 to $74,999",West North Central
4337857295,1,Turkey,,Roasted,,Rice-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,,,,Yams/sweet potato casserole,,,,,,,,,,,,Sweet Potato,,,,,,,Carrot cake,,,,,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,Yes,No,No,,Suburban,30 - 44,Male,"$200,000 and up",Pacific
4337856362,1,Turducken,,Roasted,,Bread-based,,Homemade,,Yes,,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,,,Cherry,,,,,Pecan,,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,Yes,Yes,Yes,Yes,Doesn't apply,Suburban,30 - 44,Male,"$200,000 and up",Pacific
4337854106,1,Turkey,,Baked,,Bread-based,,None,,Yes,,Carrots,,Corn,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,,,,,,,,,Pumpkin,,,,,Apple cobbler,,,,,Cookies,,Ice cream,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,15,No,Yes,Yes,No,,Urban,18 - 29,Male,"$75,000 to $99,999",East North Central
4337844879,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,Fruit salad,,,,,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,No,No,No,No,,Suburban,30 - 44,Male,"$25,000 to $49,999",Mountain
4337823612,1,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,Yes,No,No,No,,Rural,30 - 44,Male,"$75,000 to $99,999",East North Central
4337820281,1,Turkey,,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,Yes,Yes,No,No,,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
4337813502,1,Turkey,,Fried,,None,,Homemade,,Yes,,,Cauliflower,Corn,Cornbread,,,,,,,,,,,,Buttermilk,Cherry,Chocolate,Coconut cream,,,,,,,,,Apple cobbler,Blondies,Brownies,,,,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,15,Yes,Yes,Yes,Yes,Yes,Urban,18 - 29,Male,"$0 to $9,999",Pacific
4337809020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,Male,"$0 to $9,999",Middle Atlantic
4337793158,1,Turkey,,Baked,,Rice-based,,Homemade,,Yes,,Carrots,Cauliflower,,,,,,,,,,,,,Apple,Buttermilk,Cherry,,,,,,,,,,,,,Brownies,,Cheesecake,,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Urban,18 - 29,Male,"$0 to $9,999",Pacific
4337792130,1,Turkey,,Baked,,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,15,Yes,Yes,Yes,No,,Suburban,30 - 44,Female,"$50,000 to $74,999",West South Central
4337790002,1,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,Cherry,Chocolate,Coconut cream,Key lime,Peach,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,Brownies,Carrot cake,Cheesecake,Cookies,Fudge,Ice cream,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,10 or younger,No,No,No,No,,Rural,18 - 29,Male,"$200,000 and up",Middle Atlantic
4337783794,1,Turkey,,Roasted,,Bread-based,,Canned,,Yes,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,,Pumpkin,,,,,,,Brownies,,,,,,,,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Urban,30 - 44,Male,"$50,000 to $74,999",South Atlantic
4337779071,1,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,Ice cream,,,Other (please specify),Sparkling Apple Cider,Yes,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,Yes,Yes,Yes,Yes,Suburban,18 - 29,Male,"$100,000 to $124,999",East North Central
4337778119,1,Other (please specify),Varies,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,Yes,No,No,,Urban,30 - 44,Female,Prefer not to answer,Pacific
4337774090,1,Turkey,,Baked,,Bread-based,,None,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
4337772882,1,Other (please specify),some kind of lentil or vegetable stew,Other (please specify),stovetop,None,,Homemade,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
4337772493,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,Prefer not to answer,West South Central
4337772193,1,Turkey,,Baked,,None,,Homemade,,Yes,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,Peach,,Pumpkin,,,,,Apple cobbler,,Brownies,,,Cookies,,,Peach cobbler,,,,No,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,No,No,Yes,No,,Urban,18 - 29,Male,Prefer not to answer,Pacific
4337771439,1,Tofurkey,,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,,,Apple cobbler,,,,,,,,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,Yes,No,No,No,,Suburban,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
4337763296,1,Turkey,,Baked,,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,Pecan,,,,,,,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,No,Yes,No,,Urban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
4337759901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",New England
4337758789,1,Turkey,,Roasted,,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,Yes,Yes,No,No,,Urban,30 - 44,Male,"$50,000 to $74,999",East South Central
4337747968,1,Turkey,,I don't know,,Bread-based,,Homemade,,Yes,,Carrots,Cauliflower,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,Chocolate,Coconut cream,Key lime,,Pecan,Pumpkin,Sweet Potato,,,,,Blondies,Brownies,Carrot cake,Cheesecake,Cookies,Fudge,Ice cream,Peach cobbler,,,,No,Thanksgiving is local--it will take place in the town I live in,,14,No,No,No,Yes,Yes,Suburban,18 - 29,Male,Prefer not to answer,New England
4337743121,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,Brussel sprouts,,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,Coconut cream,,,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,,,Cheesecake,,,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,18,Yes,No,No,No,,Suburban,18 - 29,Male,"$25,000 to $49,999",Pacific
4337732348,1,Ham/Pork,,Roasted,,Bread-based,,Homemade,,Yes,,Carrots,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,Peach,,Pumpkin,,,,,Apple cobbler,,Brownies,,,,,Ice cream,Peach cobbler,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Rural,18 - 29,Male,"$200,000 and up",West South Central
4337731242,1,Turkey,,Baked,,Bread-based,,None,,Yes,,Carrots,,,Cornbread,Fruit salad,,,,,,,,,,,Buttermilk,,,,,,Pecan,,,,,,,,,,,Cookies,,,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,13,No,No,No,Yes,No,Urban,18 - 29,Male,"$200,000 and up",West North Central
4337725725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,Male,"$0 to $9,999",West South Central
4337719588,1,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,Squash,,Yams/sweet potato casserole,,,,,,Chocolate,,,,Pecan,Pumpkin,,,,,,,,,,Cookies,,,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,16,No,No,No,Yes,Yes,Suburban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
4337698969,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,Other (please specify),Strawberry Rhubarb,,,,,,,,Ice cream,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,12,No,No,No,No,,Suburban,30 - 44,Male,Prefer not to answer,Mountain
4337698743,1,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,Cauliflower,Corn,,,Green beans/green bean casserole,,,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,Sweet Potato,,,,,,,,Cheesecake,Cookies,,Ice cream,,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,,12,Yes,No,No,No,,Rural,18 - 29,Male,"$50,000 to $74,999",Middle Atlantic
4337693643,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",South Atlantic
4337660047,1,Turkey,,Baked,,None,,Homemade,,Yes,,Carrots,Cauliflower,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,Cherry,,,,,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,,,Cheesecake,Cookies,Fudge,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,Yes,No,Yes,Yes,Suburban,18 - 29,Male,"$10,000 to $24,999",Pacific
4337655425,1,Turkey,,Baked,,Bread-based,,None,,Yes,,,,,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,,Other (please specify),Pumpkin Pie,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,Yes,Yes,No,No,,Rural,18 - 29,Male,"$25,000 to $49,999",West North Central
4337653684,1,Turkey,,Baked,,Bread-based,,Canned,,No,Brussel sprouts,,,,Cornbread,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,,,,,,,,Pecan,Pumpkin,,,,,Apple cobbler,,,,,,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,Yes,Yes,Yes,No,,Urban,18 - 29,Female,"$25,000 to $49,999",Pacific
4337646565,1,Turkey,,Baked,,Bread-based,,None,,Yes,Brussel sprouts,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,,Pumpkin,,,,,,,,Carrot cake,,Cookies,,Ice cream,,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,12,Yes,No,Yes,No,,Suburban,30 - 44,Male,"$75,000 to $99,999",South Atlantic
4337645621,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
4337629524,1,Turkey,,Fried,,Bread-based,,None,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,,,,,Apple cobbler,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,No,No,No,No,,Rural,45 - 59,Male,"$75,000 to $99,999",West South Central
4337627331,1,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,Brussel sprouts,,,,,,,,Mashed potatoes,,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,,Other (please specify),pies,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,Yes,No,No,No,,Suburban,45 - 59,Male,"$200,000 and up",Middle Atlantic
4337626849,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,,Carrots,,,,,Green beans/green bean casserole,,,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,Chocolate,,,,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,Brownies,Carrot cake,,Cookies,,,Peach cobbler,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,Yes,Yes,No,No,,Rural,45 - 59,Male,"$10,000 to $24,999",East South Central
4337611941,1,Turkey,,Fried,,Bread-based,,Homemade,,Yes,,,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,Cookies,,,,,Other (please specify),Lefse,No,Thanksgiving is out of town and far away--I have to drive several hours or fly,,13,No,No,Yes,No,,Rural,18 - 29,Male,"$50,000 to $74,999",West North Central
4337600726,1,Other (please specify),Prime Rib,Roasted,,None,,None,,No,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is local--it will take place in the town I live in,,13,No,No,No,No,,Rural,45 - 59,Male,"$100,000 to $124,999",West South Central
4337598069,1,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,Carrots,,Corn,,Fruit salad,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,13,No,Yes,No,No,,Rural,30 - 44,Male,"$25,000 to $49,999",New England
4337597044,1,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,21 or older,No,No,No,No,,Urban,45 - 59,Male,"$25,000 to $49,999",East North Central
4337589613,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,,Sweet Potato,,,,,,,,Cheesecake,,,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,Yes,Yes,Yes,No,,Rural,30 - 44,Male,"$50,000 to $74,999",South Atlantic
4337586061,1,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,Cauliflower,,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,Buttermilk,,,,,,,,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,21 or older,No,No,Yes,No,,Urban,45 - 59,Male,"$75,000 to $99,999",East South Central
4337583393,1,Turkey,,Baked,,Bread-based,,Canned,,Yes,,Carrots,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,,Pumpkin,,,,,,Blondies,Brownies,,,Cookies,,,,,,,No,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,Yes,Yes,No,No,,Rural,18 - 29,Male,"$75,000 to $99,999",New England
4337583245,1,Other (please specify),fish,Baked,,None,,None,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,,Other (please specify),broccoli/cheese sauce,,,,,Coconut cream,,,,,,,,,,,Brownies,,Cheesecake,,,,,,Other (please specify),eclair,No,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Suburban,45 - 59,Male,"$175,000 to $199,999",East North Central
